Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,demo,env,sport,Description
4,Lunge w/ Twist,Inter,Glutes,Med,3,10ea,--,45s,Rot. Stability,⭐⭐,Lunge,Balance,Kinetic Chain,Lower body strength with rotational stability.,Lunge forward; twist ball over front leg.,Watch Video,all,,Lower body strength with rotational stability.
5,MB Superman,Inter,Low Back,Med,3,12,2s Hold,45s,Post. Chain,⭐⭐,Superman,Back Health,Posture Hold,Weighted extension for posterior chain.,Lie face down; hold ball; lift arms and legs.,Watch Video,all,,Weighted extension for posterior chain.
6,Partner Twist,Beg,Abs,Low,3,20,--,30s,Coordination,⭐,None,Teamwork,Core Control,Social drill for rotational strength.,Back-to-back; pass ball side-to-side in circle.,Watch Video,all,,Social drill for rotational strength.
7,MB Push Up,Beg,Chest,Med,3,10,--,45s,Stability,⭐⭐,Push-up,Wrist Strength,Core Shield,Increases instability for stabilizers.,Both hands on ball; elbows tucked; lower chest.,Watch Video,all,,Increases instability for stabilizers.
8,MB Hip Thrusts,Beg,Glutes,Low,3,15,--,45s,Glute Iso,⭐,Bridge,Hip Extension,Glute Active,Weighted bridge for glute isolation.,Shoulders on bench; ball on hips; drive up.,Watch Video,all,,Weighted bridge for glute isolation.
9,MB SL RDL,Inter,Hamstrings,High,3,10ea,--,60s,Balance,⭐⭐⭐,RDL,Ankle Stab.,Hinge Control,Unilateral balance and hamstring stretch.,Hinge on one leg; lower ball; keep back flat.,Watch Video,all,,Unilateral balance and hamstring stretch.
10,MB Romanian DL,Beg,Hamstrings,Med,3,12,--,45s,Hinge Found.,⭐⭐,None,Hinge Pattern,Ham. Flexibility,Foundation hinge with added resistance.,Hinge hips back; lower ball to mid-shins.,Watch Video,all,,Foundation hinge with added resistance.
11,MB Glute Bridge,Beg,Glutes,Low,3,15,--,30s,Glute Strength,⭐,None,Pelvic Align.,Glute Pump,Floor-based glute and core strengthener.,Lie on back; ball on hips; lift hips to ceiling.,Watch Video,all,,Floor-based glute and core strengthener.
12,Wall Ball,Inter,Quads,High,4,12,--,90s,Conditioning,⭐⭐⭐,Squat,Full Body Synch,Stamina,Explosive full-body movement.,Squat; explosively throw ball to wall target.,Watch Video,all,,Explosive full-body movement.
13,Partner Chest Pass,Beg,Chest,High,3,15,--,60s,Upper Power,⭐⭐,None,Reaction Time,Pass Velocity,Upper body explosive power/coordination.,Push ball from chest explosively to partner.,Watch Video,all,,Upper body explosive power/coordination.
14,MB Leg Crunch,Inter,Abs,Med,3,15,--,45s,Ab Activation,⭐⭐,Crunch,Hip Flexor Str.,Midsection Mass,Combines upper and lower ab activation.,Ball between feet; crunch knees and chest.,Watch Video,all,,Combines upper and lower ab activation.
15,MB OH Sit Up,Adv,Abs,High,3,10,--,60s,Long-Lever,⭐⭐⭐,Sit Up,Core Bracing,Ab Definition,Core move with long-lever resistance.,Sit-up while keeping ball locked out overhead.,Watch Video,all,,Core move with long-lever resistance.
16,MB Reverse Lunge,Inter,Glutes,Med,3,12ea,--,45s,Weighted Lunge,⭐⭐,Lunge,Knee Tracking,Unilat. Power,Glute-focused weighted lunge.,Step back into lunge; drive through front heel.,Watch Video,all,,Glute-focused weighted lunge.
17,Medicine Ball Lunge,Beg,Quads,Low,3,12ea,--,45s,Quad Load,⭐,None,Torso Upright,Leg Volume,Classic lunge with front-load weight.,Step forward; hold ball at chest; squat.,Watch Video,all,,Classic lunge with front-load weight.
18,MB Curtsy Lunge,Inter,Glutes,Med,3,12ea,--,45s,Hip Stability,⭐⭐,Lunge,Glute Medius,Lateral Bal.,Weighted move for glutes and stability.,Step foot behind and across; hold ball at chest.,Watch Video,all,,Weighted move for glutes and stability.
19,Balance OH Crunch,Inter,Abs,Med,3,15,--,45s,Instability,⭐⭐,Crunch,Deep Core,Balance,Core engagement via BOSU instability.,Lie on BOSU; hold ball overhead; crunch up.,Watch Video,all,,Core engagement via BOSU instability.
20,MB Side Lunge,Beg,Quads,Low,3,10ea,--,45s,Lateral Mot.,⭐,None,Hip Range,Lat. Speed,Lateral movement for quads and obliques.,Step wide to side; sit into hip; hold ball.,Watch Video,all,,Lateral movement for quads and obliques.
21,SL Bridge Squeeze,Inter,Glutes,Med,3,12ea,--,45s,Adductor Iso,⭐⭐,Bridge,Pelvic Stab.,Inner Thigh Str,Unilateral glute and adductor isolation.,One-leg bridge; squeeze ball between knees.,Watch Video,all,,Unilateral glute and adductor isolation.
22,MB OH Lunge,Inter,Quads,High,3,10ea,--,60s,OH Stability,⭐⭐⭐,OH Press,Scap. Control,Core Bracing,Advanced shoulder and core stability.,Hold ball overhead; step forward into lunge.,Watch Video,all,,Advanced shoulder and core stability.
23,Sit Up w/ Toss,Inter,Abs,High,3,12,--,60s,Dynamic Power,⭐⭐⭐,Sit Up,Coordination,Expl. Core,Dynamic coordination and power move.,Sit up; toss ball; catch on way down.,Watch Video,all,,Dynamic coordination and power move.
24,MB Squat,Inter,Quads,Med,3,15,--,45s,Front Load,⭐⭐,Squat,Depth,Quad Drive,Standard squat with front-loaded weight.,Hold ball at chest; squat deep; core tight.,Watch Video,all,,Standard squat with front-loaded weight.
25,Partner Sit Up,Beg,Abs,Med,3,15,--,45s,Core Cond.,⭐⭐,Sit Up,Rhythm,Endurance,Partner-based core conditioning.,"Toss ball during ""up"" phase of sit-up.",Watch Video,all,,Partner-based core conditioning.
26,Partner Russian,Beg,Abs,Low,3,20,--,30s,Oblique Pass,⭐,Russian Tw.,Coordination,Speed,Oblique work with coordination.,Pass ball to partner while twisting side-to-side.,Watch Video,all,,Oblique work with coordination.
27,Partner Squat/Thr,Beg,Quads,High,3,12,--,60s,Total Power,⭐⭐,Squat,Triple Ext.,Reaction,Fast-paced lower body power move.,Squat; explosively throw; catch and descend.,Watch Video,all,,Fast-paced lower body power move.
28,Partner Roll PU,Inter,Chest,High,3,10ea,--,60s,Team Stability,⭐⭐⭐,MB Push Up,Control,Athleticism,Advanced stability and teamwork drill.,Push-up; roll ball to partner; they push-up.,Watch Video,all,,Advanced stability and teamwork drill.
1,Cable Crossover,Beg,Chest,Low,3,12-15,--,45s,Pec Isolation,⭐,None,Chest Squeeze,Mind-Muscle,Constant tension for pectoral muscles.,Stand center; pull in wide arc to meet in front.,Watch Video,w_room,,Constant tension for pectoral muscles.
2,Low Cable Fly,Inter,Chest,Med,3,12,--,45s,Upper Pec,⭐⭐,Crossover,Upper Fill,Fiber Recruit,Emphasizes upper-to-mid chest fibers.,Pulleys at bottom; pull upward toward chin.,Watch Video,w_room,,Emphasizes upper-to-mid chest fibers.
3,Rear Delt Fly,Beg,Shoulders,Low,3,15,--,30s,Post. Health,⭐,None,Posture,Scap. Stability,Isolates rear delts and improves posture.,Cross cables; pull arms back horizontally.,Watch Video,w_room,,Isolates rear delts and improves posture.
4,Cable Press,Beg,Chest,Med,3,10,--,60s,Press Stability,⭐⭐,Push-up,Bracing,Force Prod.,Stable compound press for chest/triceps.,Staggered stance; press forward like bench.,Watch Video,w_room,,Stable compound press for chest/triceps.
5,Mid Crossover,Beg,Chest,Low,3,12,--,45s,Sternal Pec,⭐,None,Pec Width,Mid-Chest Mass,Targets the middle portion of the pecs.,Pulleys at chest height; pull to sternum.,Watch Video,w_room,,Targets the middle portion of the pecs.
6,Cable Shrugs,Inter,Trapezius,Med,4,12-15,--,60s,Trap Density,⭐⭐,BB Shrug,Neck Health,Trap Height,Heavy isolation with vertical tension.,Use straight bar; shrug to ears; arms straight.,Watch Video,w_room,,Heavy isolation with vertical tension.
7,Double Bi Curl,Beg,Biceps,Low,3,12,--,45s,Bicep Peak,⭐,BB Curl,Flex Control,Bicep Width,"High-pulley curl mimicking ""front double bicep.""",Pulleys at shoulder height; curl toward ears.,Watch Video,w_room,,"High-pulley curl mimicking ""front double bicep."""
8,Cable Sh. Press,Beg,Shoulders,Med,3,10,--,60s,Overhead Pow,⭐⭐,DB Press,Stability,Vertical Drive,Smooth overhead press with consistent resistance.,Press from shoulders to full lockout.,Watch Video,w_room,,Smooth overhead press with consistent resistance.
9,SA Low Fly,Beg,Chest,Low,3,12ea,--,30s,Symmetry,⭐,Low Fly,Core Brace,Pec Balance,Unilateral isolation for chest asymmetry.,One low pulley; pull across to opposite shoulder.,Watch Video,w_room,,Unilateral isolation for chest asymmetry.
10,X-Over Lat Down,Inter,Back,High,3,10,--,60s,Lat Width,⭐⭐⭐,Pulldown,Lat Active,Back Depth,Enhanced range for lat width and depth.,Kneel; cross arms for handles; pull to ribs.,Watch Video,w_room,,Enhanced range for lat width and depth.
11,Incline Bench Fly,Inter,Chest,Low,3,12,--,45s,Upper Isolation,⭐⭐,Incline Press,Bench Steady,Upper Pec Pop,Precision isolation for upper pectorals.,Lie on incline bench; pull handles above face.,Watch Video,w_room,,Precision isolation for upper pectorals.
12,Flat Bench Fly,Inter,Chest,Low,3,12,--,45s,Chest Mass,⭐⭐,Bench Press,Squeeze Power,Pec Thickness,Stable isolation for chest mass/strength.,Lie on flat bench; pull handles in wide arc.,Watch Video,w_room,,Stable isolation for chest mass/strength.
13,Balance Crunch,Beg,Abs,Med,3,15,--,45s,Core/Oblique,⭐⭐,Cable Crunch,Stability,Anti-Lateral,Combines stability with oblique side bends.,Kneel on balance trainer; crunch then bend side.,Watch Video,w_room,,Combines stability with oblique side bends.
1,Shoulder Squeeze,Beg,Back,Low,3,15,2s Hold,30s,Posture,⭐,None,Scap. Control,Upper Bk Density,High-tension isolation for upper back.,Pull band apart to chest; squeeze scapula.,Watch Video,all,,High-tension isolation for upper back.
2,Stnd. Tricep Ext,Beg,Triceps,Low,3,12,--,30s,Arm Def.,⭐,None,Full Lockout,Tricep Shape,Vertical extension for arm definition.,Extend arm downward against band tension.,Watch Video,all,,Vertical extension for arm definition.
3,Bicep Curl,Beg,Biceps,Low,3,12,--,30s,Bicep Peak,⭐,None,Strict Reps,Peak Tension,Progressive resistance for bicep peaks.,Step on band; curl to shoulders; elbows pinned.,Watch Video,all,,Progressive resistance for bicep peaks.
4,Bent Over Row,Beg,Back,Med,3,10,--,45s,Back Thick,⭐⭐,None,Flat Back,Pull Strength,Compound pull for thickness and posture.,Hinge forward; pull band ends to hips.,Watch Video,all,,Compound pull for thickness and posture.
5,Good Morning,Beg,Hamstrings,Med,3,12,--,45s,Hinge Load,⭐⭐,Hinge,Hip Mobility,Hame String Size,Hinge move with peak tension at the top.,Band over neck/under feet; hinge at hips.,Watch Video,all,,Hinge move with peak tension at the top.
6,SA Tricep Ext,Beg,Triceps,Low,3,12ea,--,30s,Symmetry,⭐,Tricep Ext,Arm Balance,Unilat. Detail,Unilateral isolation to fix imbalances.,Anchor at shoulder; extend one arm to lockout.,Watch Video,all,,Unilateral isolation to fix imbalances.
7,Hammer Curl,Beg,Biceps,Low,3,12,--,30s,Brachialis,⭐,Bicep Curl,Grip Strength,Forearm Mass,Targets brachialis and forearm width.,Palms-in grip; curl toward shoulders.,Watch Video,all,,Targets brachialis and forearm width.
8,Seated Row,Beg,Back,Low,3,15,--,45s,Mid-Back,⭐,None,Posture,Scap. Health,Horizontal pull with end-range squeeze.,Sit with legs out; loop on feet; pull to torso.,Watch Video,all,,Horizontal pull with end-range squeeze.
9,Assisted Pull Up,Beg,Back,High,4,8,--,60s,Pull Power,⭐⭐⭐,None,First Rep,High Volume,Uses band to reduce bodyweight load.,Loop on bar and foot; perform pull-up.,Watch Video,all,,Uses band to reduce bodyweight load.
10,Side Step,Beg,Glutes,Med,3,15ea,--,30s,Hip Stab.,⭐⭐,None,Knee Track,Lateral Speed,Lateral move for hip/abductor stability.,Band at ankles; half-squat; step sideways.,Watch Video,all,,Lateral move for hip/abductor stability.
11,Lat Pulldown,Beg,Back,Low,3,15,--,45s,Lat Width,⭐,None,Scap. Pull,Lat Activation,Mimics machine pull for lat width.,Hold overhead; pull elbows down to ribs.,Watch Video,all,,Mimics machine pull for lat width.
12,Resisted Push Up,Beg,Chest,Med,3,10,--,60s,Chest Power,⭐⭐,Push Up,Force Prod.,Explosive Push,Adds variable resistance to chest press.,Band across back; perform standard push-up.,Watch Video,all,,Adds variable resistance to chest press.
13,Glute Kickback,Beg,Glutes,Low,3,15ea,--,30s,Glute Shape,⭐,None,Hip Extension,Glute Activation,Isolation move for glute shaping.,On all fours; kick foot back against band.,Watch Video,all,,Isolation move for glute shaping.
14,Face Pull,Beg,Shoulders,Low,3,15,--,30s,Rear Delt,⭐,None,Shoulder Health,Postural Setup,Rear delt and upper back health.,Pull to forehead; flare elbows out.,Watch Video,all,,Rear delt and upper back health.
15,Stnd. Chest Press,Beg,Chest,Med,3,12,--,45s,Stab./Chest,⭐⭐,None,Core Bracing,Press Control,Standing press for chest and stability.,Anchor behind; press forward at chest height.,Watch Video,all,,Standing press for chest and stability.
16,Sh. Ext. Rotation,Beg,Shoulders,Low,3,15,--,30s,Cuff Health,⭐,None,Sh. Stability,Injury Prev.,Rotator cuff stability and health.,Elbows at 90°; rotate hands outward.,Watch Video,all,,Rotator cuff stability and health.
17,Hip Adduction,Beg,Adductors,Low,3,15ea,--,30s,Inner Thigh,⭐,None,Hip Balance,Groin Strength,Inner thigh strengthening.,Pull banded leg across the body midline.,Watch Video,all,,Inner thigh strengthening.
18,Standing Ab Twist,Beg,Abs,Med,3,12ea,--,45s,Rotation,⭐⭐,None,Oblique Str.,Core Speed,Rotational core strength and obliques.,Hold at chest; rotate torso side-to-side.,Watch Video,all,,Rotational core strength and obliques.
19,Hip Abduction,Beg,Abductors,Low,3,15ea,--,30s,Outer Hip,⭐,None,Pelvic Stab.,Hip Strength,Outer hip and glute medius isolation.,Lift banded leg out to side; keep hips level.,Watch Video,all,,Outer hip and glute medius isolation.
20,Overhead Stretch,Beg,Shoulders,Low,2,--,60s,--,Mobility,⭐,None,Range of Mot.,Recovery,Mobility move for shoulder range.,Hold wide overhead; move arms back and forth.,Watch Video,all,,Mobility move for shoulder range.
21,Incline Press,Beg,Chest,Med,3,12,--,45s,Upper Pec,⭐⭐,Chest Press,Front Delt Str.,Upper Chest Dev,Targets upper pectorals and front delts.,Anchor low; press forward/upward at 45°.,Watch Video,all,,Targets upper pectorals and front delts.
22,Assisted Chin Up,Beg,Back,High,4,8,--,60s,Bicep/Back,⭐⭐⭐,None,Pullup Prep,Volume Pull,Underhand grip assisted pull-up.,Palms facing you; use band to assist.,Watch Video,all,,Underhand grip assisted pull-up.
23,Decline Press,Beg,Chest,Med,3,12,--,45s,Lower Pec,⭐⭐,Chest Press,Pec Def.,Press Power,Targets lower pectoral fibers.,Anchor high; press handles down toward hips.,Watch Video,all,,Targets lower pectoral fibers.
24,SA Incline Press,Beg,Chest,Med,3,10ea,--,45s,Unilat. Pow,⭐⭐,Incline Press,Core Bracing,Symmetry,Unilateral upper chest isolation.,Press upward with one arm; stay square.,Watch Video,all,,Unilateral upper chest isolation.
25,Ext. Rot (90°),Beg,Shoulders,Low,3,12ea,--,30s,Cuff/Post.,⭐,Sh. Ext Rot,Overhead Stab.,Sh. Health,High-position rotator cuff work.,Arm at shoulder height; rotate forearm up.,Watch Video,all,,High-position rotator cuff work.
26,Romanian DL,Beg,Hamstrings,Med,3,15,--,45s,Post. Chain,⭐⭐,Hinge,Ham. Stretch,Hip Snap,Hip-hinge for posterior chain strength.,Hinge at hips; flat back; snap hips forward.,Watch Video,all,,Hip-hinge for posterior chain strength.
27,High Pull,Beg,Shoulders,Med,3,12,--,45s,Trap/Delt,⭐⭐,None,Explosiveness,Sh. Width,Compound pull for delts and traps.,Pull to chin; elbows stay above wrists.,Watch Video,all,,Compound pull for delts and traps.
28,Deadlift,Beg,Hamstrings,High,4,10,--,60s,Pull Found.,⭐⭐⭐,Hinge,Base Strength,Floor Power,Foundational pull for legs and back.,Squat/hinge; stand up to full lockout.,Watch Video,all,,Foundational pull for legs and back.
29,Seated Sh. Press,Beg,Shoulders,Low,3,12,--,45s,Delt Iso,⭐,None,Press Vol.,Strict Power,Isolated vertical press for deltoids.,Sit on band; press ends directly overhead.,Watch Video,all,,Isolated vertical press for deltoids.
30,Back Squat,Beg,Quads,Med,4,12,--,60s,Leg Mass,⭐⭐,Body Squat,Squat Depth,Leg Power,Compound leg move; variable tension.,Band over traps/under feet; deep squat.,Watch Video,all,,Compound leg move; variable tension.
31,Negative Pull Up,Beg,Back,High,3,5,5s Down,90s,Ecc. Strength,⭐⭐⭐,None,Pullup First,Strength Build,Focuses on the eccentric lowering phase.,Jump to top; lower slowly with band help.,Watch Video,all,,Focuses on the eccentric lowering phase.
32,Int. Rotation 90°,Beg,Shoulders,Low,3,15ea,--,30s,Cuff Strength,⭐,None,Sh. Integrity,Injury Prev.,Functional rotator cuff strength.,Arm at shoulder height; rotate forearm down.,Watch Video,all,,Functional rotator cuff strength.
33,Single Arm Fly,Beg,Chest,Low,3,12ea,--,30s,Chest Stretch,⭐,None,Pec Isolation,Squeeze,Unilateral isolation for chest stretch.,Pull arm across chest in arc; arm straight.,Watch Video,all,,Unilateral isolation for chest stretch.
34,Sh. Int. Rotation,Beg,Shoulders,Low,3,15ea,--,30s,Cuff Health,⭐,None,Stabilizers,Prehab,Internal rotator strength for prevention.,Elbow at side; pull hand inward to stomach.,Watch Video,all,,Internal rotator strength for prevention.
35,Front Squat,Beg,Quads,Med,3,12,--,60s,Core/Quads,⭐⭐,Back Squat,Upright Torso,Quad Drive,Quad-dominant squat variation.,Band across front of delts; elbows high.,Watch Video,all,,Quad-dominant squat variation.
36,Wide Grip Pull Up,Beg,Back,High,3,8,--,60s,Lat Focus,⭐⭐⭐,Pull Up,Back Width,Vertical Pull,Targets outer lats for back width.,Wide overhand grip; pull chest to bar.,Watch Video,all,,Targets outer lats for back width.
37,Sumo Deadlift,Beg,Quads,High,3,12,--,60s,Inner Thigh,⭐⭐,Deadlift,Glute Power,Wide Base,Wide-stance pull for inner thighs/glutes.,Wide feet; toes out; pull from center.,Watch Video,all,,Wide-stance pull for inner thighs/glutes.
38,Push Up on Knees,Beg,Chest,Low,3,15,--,45s,Push Found.,⭐,None,Chest Endur.,Volume,Regressed push-up with resistance.,On knees; band across back; press control.,Watch Video,all,,Regressed push-up with resistance.
39,OH Pull Apart,Beg,Back,Low,3,15,--,30s,Scap. Stab.,⭐,None,Posture,Upper Bk Health,Scapular stability and rear delt move.,Pull band apart starting from overhead.,Watch Video,all,,Scapular stability and rear delt move.
40,Superman Press,Beg,Lower Back,Med,3,12,--,45s,Post. Chain,⭐⭐,None,Back Arch,Stability,Advanced posterior chain stability.,Lift chest/legs; press band forward.,Watch Video,all,,Advanced posterior chain stability.
41,Negative Chin Up,Beg,Back,High,3,5,5s Down,90s,Ecc. Strength,⭐⭐⭐,None,Chin Up Prep,Pull Strength,Eccentric underhand back work.,Jump to top; lower slowly with band.,Watch Video,all,,Eccentric underhand back work.
42,Squat to Press,Beg,Quads,High,3,10,--,60s,Coordination,⭐⭐⭐,Squat,Total Power,Athleticism,Full-body coordination and power.,Perform squat; press overhead as you stand.,Watch Video,all,,Full-body coordination and power.
43,Underhand Front,Beg,Shoulders,Low,3,12,--,45s,Ant. Delt,⭐,None,Sh. Shape,Front Cap,Anterior delt isolation.,Palms up; lift arms to shoulder height.,Watch Video,all,,Anterior delt isolation.
44,Single Arm Row,Beg,Back,Low,3,12ea,--,30s,Lat Symmetry,⭐,Row,Anti-Rotation,Lat Focus,Unilateral horizontal pull.,One hand rows; core stabilizes vs twist.,Watch Video,all,,Unilateral horizontal pull.
45,Straight-Arm Down,Beg,Back,Low,3,15,--,45s,Lat Iso,⭐,None,Scap. Control,Lat Active,Lat isolation without bicep involvement.,Arms straight; pull from overhead to thighs.,Watch Video,all,,Lat isolation without bicep involvement.
46,Pulse Lunge,Beg,Quads,Med,3,20,--,45s,Quad Endur.,⭐⭐,Lunge,Time/Tension,Leg Pump,High-tension quad endurance.,Half-squat lunge; 2-3 inch up/down bounce.,Watch Video,all,,High-tension quad endurance.
47,Banded Y Fly,Beg,Back,Low,3,15,--,30s,Lower Trap,⭐,OH Stretch,Posture,Scap. Health,Targets lower traps and rear delts.,"Raise arms into ""Y"" shape against band.",Watch Video,all,,Targets lower traps and rear delts.
48,Seated SA Row,Beg,Back,Low,3,12ea,--,30s,Lat Isolation,⭐,Row,Symmetry,Detail,Focused unilateral back thickness.,Seated; row one arm to address imbalances.,Watch Video,all,,Focused unilateral back thickness.
49,SA Archer Pull,Beg,Shoulders,Low,3,12ea,--,30s,Unilat. Pull,⭐,None,Coordination,Sh. Power,Unilateral pull mimicking bow draw.,One arm straight; other pulls back to ear.,Watch Video,all,,Unilateral pull mimicking bow draw.
50,Pallof Press/Twst,Beg,Abs,Med,3,10ea,--,45s,Anti-Rot.,⭐⭐,None,Core Stability,Oblique Power,Anti-rotation core stability with twist.,Press band forward; rotate away.,Watch Video,all,,Anti-rotation core stability with twist.
51,Kneeling Pallof,Beg,Abs,Low,3,12ea,--,45s,Oblique Stab.,⭐,None,Core Bracing,Stability,Focused oblique stabilization.,Both knees down; press; resist pull.,Watch Video,all,,Focused oblique stabilization.
52,Banded Leg Drive,Beg,Quads,High,3,10ea,--,60s,Speed Power,⭐⭐⭐,None,Sprint Mech.,Explosiveness,Explosive lower body power.,Drive knee forward/up against band.,Watch Video,all,,Explosive lower body power.
53,Leg Press,Beg,Quads,Low,3,20,--,45s,Leg Volume,⭐,None,Quad Endur.,Hypertrophy,Machine-free leg strengthening.,Lie on back; push band away with feet.,Watch Video,all,,Machine-free leg strengthening.
54,Stnd Ham. Curl,Beg,Hamstrings,Low,3,15ea,--,30s,Ham. Iso,⭐,None,Knee Health,Ham. Shape,Standing isolation for back of legs.,Curl heel to glute; knees aligned.,Watch Video,all,,Standing isolation for back of legs.
55,Kneeling DL,Beg,Hamstrings,Low,3,15,--,45s,Glute/Hinge,⭐,Hinge,Hip Drive,Recovery Pull,Glute/hinge for limited mobility.,Kneeling; hinge back and drive hips.,Watch Video,all,,Glute/hinge for limited mobility.
56,Pallof Walk Out,Beg,Abs,High,3,--,30s,60s,Dynamic Core,⭐⭐⭐,Pallof Press,Core Force,Anti-Rot. Str,Dynamic anti-rotation stability.,Hold pressed band; walk sideways away.,Watch Video,all,,Dynamic anti-rotation stability.
57,Supine Pallof,Beg,Abs,Med,3,12,--,45s,Low Bk Prot.,⭐⭐,None,Bracing,Core Depth,Core stability with low back support.,Lying on back; press band upward.,Watch Video,all,,Core stability with low back support.
58,Leg Extension,Beg,Quads,Low,3,20ea,--,30s,Quad Iso,⭐,None,Knee Stab.,Detail,Isolation for the quadriceps.,Seated; extend leg straight against band.,Watch Video,all,,Isolation for the quadriceps.
59,Prone Ham. Curl,Beg,Hamstrings,Low,3,15,--,45s,Ham. Volume,⭐,None,Ham. Health,Size,Lying isolation for leg curls.,Face down; curl heels toward glutes.,Watch Video,all,,Lying isolation for leg curls.
60,Hip Thrust,Beg,Glutes,Med,4,12,--,60s,Glute Power,⭐⭐,Bridge,Hip Snap,Force Prod.,Peak glute contraction move.,Hips drive up; band adds top tension.,Watch Video,all,,Peak glute contraction move.
61,Lunge Pallof,Inter,Abs,High,3,10ea,--,60s,Stab./Legs,⭐⭐⭐,Lunge,Coordination,Dynamic Stab.,Compound stability and leg move.,Lunge down while pressing band.,Watch Video,all,,Compound stability and leg move.
62,Bulgarian Sq,Inter,Quads,High,3,8ea,--,60s,Unilat. Pow,⭐⭐⭐,Lunge,Hip Strength,Quad Detail,Advanced unilateral leg power.,Back foot elevated; band adds tension.,Watch Video,all,,Advanced unilateral leg power.
63,Plank Row,Beg,Abs,Med,3,10ea,--,45s,Core/Back,⭐⭐,Plank,Anti-Rot.,Stability,Core stability plus horizontal pull.,In plank; row one side; keep hips level.,Watch Video,all,,Core stability plus horizontal pull.
64,Side Plank Row,Beg,Abs,Med,3,12ea,--,45s,Oblique/Back,⭐⭐,Side Plank,Core Tie-in,Lateral Stab.,Oblique and back integration.,Side plank; row band with top arm.,Watch Video,all,,Oblique and back integration.
65,Partner Rev Leg,Beg,Glutes,Low,3,15,--,45s,Team/Glute,⭐,None,Funct. Range,Recovery,Assisted glute and hamstring work.,Partner provides resistance for lifts.,Watch Video,all,,Assisted glute and hamstring work.
66,Partner Sprint,Beg,Quads,High,4,--,15s Sprints,90s,Speed Power,⭐⭐⭐,None,Sprint Force,Acceleration,Explosive speed and power drill.,Sprint forward; partner pulls back.,Watch Video,all,,Explosive speed and power drill.
67,Partner Chest Pr,Beg,Chest,Low,3,12,--,45s,Dynamic Res.,⭐,None,Stability,Coordination,Dynamic social strength training.,Partners press vs each other's resistance.,Watch Video,all,,Dynamic social strength training.
68,Partner Twist,Beg,Abs,Med,3,10ea,--,45s,Core Comp.,⭐⭐,None,Oblique Str.,Anti-Rot.,Competitive core rotation.,Partners try to pull each other off twist.,Watch Video,all,,Competitive core rotation.
69,Partner Jump,Beg,Quads,High,4,5,--,90s,Plyo Power,⭐⭐⭐,None,Vert. Jump,Explosiveness,Plyometric power development.,Jump vertically; partner resists via band.,Watch Video,all,,Plyometric power development.
1,Kneeling Row,Beg,All,Back,Low,3,12ea,--,45s,Unilat. Pull,⭐,None,Flat Back,Scap. Control,Targets back independently to fix imbalances.,Watch Video,🎥,all,Scap. Control
2,Glute Bridge,Beg,All,Hamstrings,Low,3,15,30s Hold,30s,Post. Chain,⭐,None,Hip Extension,Glute Active,Performed as a hold/rep to recruit hip stabilizers.,Watch Video,🎥,all,Glute Active
3,Fire Hydrant,Beg,All,Glutes,Low,3,15ea,--,30s,Glute Medius,⭐,None,Core Stability,Hip Mobility,Isolation movement targeting glutes via lateral lift.,Watch Video,🎥,all,Hip Mobility
4,SL RDL w/ Row,Beg,All,Back,High,3,10ea,--,60s,Balance/Pull,⭐⭐⭐,RDL Form,Ankle Stability,CNS Integration,Combines hinge balance with a row for posture.,Watch Video,🎥,all,CNS Integration
5,Glute Thrust,Beg,All,Hamstrings,Med,3,12,--,45s,Power Ext.,⭐⭐,Bridge,Snap Hips,Power Output,Amplifies bridge benefits by adding explosive resistance.,Watch Video,🎥,all,Power Output
6,Standing Hip Ext,Beg,All,Glutes,Low,3,15ea,--,30s,Glute Max,⭐,None,No Back Arch,Postural Hold,Standing isolation extending leg out behind you.,Watch Video,🎥,all,Postural Hold
7,Tricep Press,Beg,All,Triceps,Low,3,12ea,--,30s,Arm Isolation,⭐,None,Full Lockout,Muscle Tone,Portable way to target triceps through full range.,Watch Video,🎥,all,Muscle Tone
8,Hip Thrust,Beg,All,Glutes,Med,4,12,--,60s,Peak Glute,⭐⭐,Bridge,Knee Alignment,Max Contract,Compound move using band for hip abduction.,Watch Video,🎥,all,Max Contract
9,Overhead Fly,Beg,All,Shoulders,Low,3,15,--,30s,Rear Delt,⭐,None,Shoulder Health,Scap. Stability,Targets deltoids and upper back for aesthetics.,Watch Video,🎥,all,Scap. Stability
10,Lateral Walk,Beg,All,Abductors,Med,3,15ea,--,45s,Lat. Stability,⭐⭐,Squat Form,Knee Tracking,Lateral Speed,Challenges hip abduction and lateral stability.,Watch Video,🎥,all,Lateral Speed
11,Kneeling Curl,Beg,All,Biceps,Low,3,12ea,--,30s,Bicep Iso,⭐,None,Still Elbows,Peak Tension,Isolates biceps while engaging kneeling core.,Watch Video,🎥,all,Peak Tension
12,Mini Band Squat,Beg,All,Quads,Med,3,15,--,45s,Knee Tracking,⭐⭐,Body Squat,Knees Out,Squat Depth,Forces recruitment to prevent knee collapse.,Watch Video,🎥,all,Squat Depth
13,Side-Lying Clam,Beg,All,Abductors,Low,3,20ea,--,30s,Hip Stability,⭐,None,Hips Square,Pelvic Control,Classic PT move for hip and pelvic health.,Watch Video,🎥,all,Pelvic Control
