Rank,Exercise Name,Level,Primary Muscle,CNS,Sets,Reps,Time Goal,Rest,Primary Focus,Stars,Pre-Req,HS Goals,College Goals,Description,Proper Form,Demo,Env.,equipment,sport
1034,Handle: Wrap-Around,Adv,Wrist/CNS,High,3,15,-,60s,Handles,⭐⭐⭐⭐,Drill 828,Control,Elite,Dribble the ball behind your back (Stationary).,Keep your eyes up and back straight.,https://www.youtube.com/watch?v=aySQTi4vyos&t=13920s,Gym,Basketball,Basketball
1144,Handle: Wrap-Around,Adv,Wrist/CNS,High,3,15,-,60s,Handles,⭐⭐⭐⭐,Drill 828,Control,Elite,Dribble the ball behind your back (Stationary).,Keep your eyes up and back straight.,https://www.youtube.com/watch?v=aySQTi4vyos&t=13920s,Gym,Basketball,Basketball
553,Heavy Ball: B-Legs,Adv,CNS/Hips,High,3,30,30s,60s,Strength,⭐⭐⭐⭐,Drill 551,Snap,Control,Between-legs with a weighted ball [01:01:30].,Stay low in the stance.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3690s,Gym,Basketball,Basketball
552,Heavy Ball: Cross,Adv,CNS/Shoulder,High,3,30,30s,60s,Strength,⭐⭐⭐⭐,Drill 551,Snap,Control,Crossovers with a weighted ball [01:01:00].,Keep the cross tight.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3660s,Gym,Basketball,Basketball
187,Hedge & Recover,Adv,Quads,High,3,8,90s,60s,Defense,⭐⭐⭐⭐,Drill 112,Stop Drive,Recovery,"Show on screen, then sprint back [04:58:00].",Active hands while hedging.,https://www.youtube.com/watch?v=aySQTi4vyos&t=17880s,Gym,Basketball,Basketball
355,Hedge & Recover,Inter,Quads,High,4,10,--,60s,Defense,⭐⭐,None,Speed,Communication,Defending the ball screen.,Show on ball; sprint back to man.,🎥,Gym,Basketball,Basketball
452,Heel-Toe Crossover,Int,Ankles,Med,3,20,45s,30s,Footwork,⭐⭐⭐,Drill 82,Balance,Quickness,Crossover timed with heel-toe steps [03:08:00].,Weight on balls of feet.,https://www.youtube.com/watch?v=aySQTi4vyos&t=11280s,Gym,Basketball,Basketball
166,Hesi Sweep (L),Int,Shoulders,Med,3,15,60s,30s,Attack,⭐⭐⭐,None,Strong Rip,Explosion,Hesi then rip through left [04:00:15].,First step must be long.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14415s,Gym,Basketball,Basketball
165,Hesi Sweep (R),Int,Shoulders,Med,3,15,60s,30s,Attack,⭐⭐⭐,None,Strong Rip,Explosion,Hesi then rip through right [04:00:00].,Keep ball below defender hand.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14400s,Gym,Basketball,Basketball
440,High Finger Roll,Int,Wrist/Shoulder,Med,3,15,60s,30s,Finishing,⭐⭐⭐,Drill 89,Soft Touch,90% Make,High arc layup over shot blocker [02:50:00].,Keep arm extended fully.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10200s,Gym,Basketball,Basketball
393,High Post Dribble Hand-off,Beg,Arms,Low,3,15,--,45s,Team Play,⭐,None,Ball Security,Timing,Execute DHO at the high post/nail.,Dribble toward cutter; shield defender.,🎥,Gym,Basketball,Basketball
321,High Post Flash,Beg,Quads,Med,3,12,--,45s,Agility,⭐,None,Target Hand,Meet Ball,"Flash to high post, catch, and look.",Sprint to spot; chin the ball; pivot.,🎥,Gym,Basketball,Basketball
285,High Rip Post Move,Beg,Arms/Shoulders,Low,3,15,--,45s,Agility,⭐,None,Speed,Security,Rip the ball high into a post-up.,Across head; fast transition.,🎥,Gym,Basketball,Basketball
295,High Seal (Fronting),Inter,Glutes/Core,Med,3,10,--,60s,Positioning,⭐⭐,None,Walk Up,Space Creation,Walk a fronting defender up the lane.,Create room on back side; meet pass.,🎥,Gym,Basketball,Basketball
281,High Shot Fake Drive,Inter,Quads/Core,Med,3,12,--,60s,Scoring,⭐⭐,Shot Fake,Sell Fake,Finish,High realistic shot fake into a drive.,Ball above head; eyes on rim.,🎥,Gym,Basketball,Basketball
336,High-Low Pass,Beg,Arms,Low,3,12,--,45s,Vision,⭐,None,Accuracy,Timing,Pass from high post to low post.,Put ball where only teammate gets it.,🎥,Gym,Basketball,Basketball
279,High-Low Sweep (Pass Fake),Inter,Arms/Shoulders,Low,3,12,--,45s,Awareness,⭐⭐,None,Realistic Fake,Freeze Defense,Pass fake high followed by a low sweep.,High to low; eyes follow fake.,🎥,Gym,Basketball,Basketball
282,High-Release Shot Fake,Adv,Shoulders/Arms,High,3,10,--,90s,Deception,⭐⭐⭐,Shot Fake,Max Lift,Defender Jump,Shot fake at the point of release.,Get defender in air; drop and go.,🎥,Gym,Basketball,Basketball
164,High-Speed Wrap,Adv,Shoulders,High,2,10,30s,60s,Flashiness,⭐⭐⭐⭐,Drill 150,Success,Smooth,Sprint and wrap ball behind back [02:44:00].,Catch ball in front of body.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9840s,Gym,Basketball,Basketball
435,Hook Shot (Baseline),Beg,Shoulders,Low,3,15,--,45s,Scoring,⭐,Hook Shot,10/15 Made,13/15 Made,Traditional hook shot to baseline.,Use backboard; soft touch.,🎥,Gym,Basketball,Basketball
95,Hook Shot (L),Int,Triceps,Med,3,15,60s,30s,Post Scoring,⭐⭐⭐,None,Arc,Consistency,Left-hand hook shot.,Maintain balance on landing.,https://www.youtube.com/watch?v=aySQTi4vyos&t=4120s,Gym,Basketball,Basketball
313,Hook Shot (Middle),Beg,Shoulders,Low,3,15,--,45s,Post Scoring,⭐,Hook Shot,10/15 Made,13/15 Made,"Dribble to middle, jump hook.",Shoulder to chest; high release point.,🎥,Gym,Basketball,Basketball
434,Hook Shot (Middle),Beg,Shoulders,Low,3,15,--,45s,Scoring,⭐,Hook Shot,10/15 Made,13/15 Made,Traditional hook shot to the middle.,High extension; lead with shoulder.,🎥,Gym,Basketball,Basketball
391,Hook Shot (Off-Hand),Adv,Shoulders,High,3,10,--,90s,Skill,⭐⭐⭐,Hook Shot,5/10 Made,7/10 Made,Hook shot with the non-dominant hand.,High extension; flick the wrist.,🎥,Gym,Basketball,Basketball
94,Hook Shot (R),Int,Triceps,Med,3,15,60s,30s,Post Scoring,⭐⭐⭐,None,Arc,Consistency,One-hand hook shot over the shoulder.,Non-shooting arm protects.,https://www.youtube.com/watch?v=aySQTi4vyos&t=4120s,Gym,Basketball,Basketball
169,Hook: Jump Hook (L),Int,Triceps/Quads,Med,3,12,60s,30s,Post Finish,⭐⭐⭐,Drill 95,Soft Touch,90% Make,Jump vertically for left hook [04:12:30].,Protect ball with shoulder.,https://www.youtube.com/watch?v=aySQTi4vyos&t=15150s,Gym,Basketball,Basketball
168,Hook: Jump Hook (R),Int,Triceps/Quads,Med,3,12,60s,30s,Post Finish,⭐⭐⭐,Drill 94,Soft Touch,90% Make,Jump vertically for right hook [04:12:00].,Extend arm fully.,https://www.youtube.com/watch?v=aySQTi4vyos&t=15120s,Gym,Basketball,Basketball
174,Hook: Post-Up Fade,Adv,Triceps/Core,High,3,10,60s,45s,Range,⭐⭐⭐⭐,Drill 168,Touch,75% Make,Short hook shot while moving away [04:12:45].,Soft flick of the wrist.,https://www.youtube.com/watch?v=aySQTi4vyos&t=15165s,Gym,Basketball,Basketball
140,In-and-Out B-Back,Int,Core/Wrist,Med,4,15,45s,30s,Protection,⭐⭐⭐,Drill 138,Stability,Speed,In-out into behind-back [02:08:00].,Snap the ball hard.,https://www.youtube.com/watch?v=aySQTi4vyos&t=7680s,Gym,Basketball,Basketball
139,In-and-Out B-Legs,Int,Hips/Wrist,Med,4,15,45s,30s,Shifty,⭐⭐⭐,Drill 138,Fluidity,Speed,In-out into between-legs [02:06:45].,Head fake during in-out.,https://www.youtube.com/watch?v=aySQTi4vyos&t=7605s,Gym,Basketball,Basketball
138,In-and-Out Cross,Beg,Wrist/Forearms,Low,4,20,30s,20s,Deception,⭐⭐,None,Sell Fake,Speed,Inside-out dribble into crossover [02:05:30].,Shift weight on in-out.,https://www.youtube.com/watch?v=aySQTi4vyos&t=7530s,Gym,Basketball,Basketball
460,In-Out-Snatch,Adv,CNS/Wrist,High,3,10,45s,45s,Complexity,⭐⭐⭐⭐,Drill 143,Shiftiness,Elite,In-out move immediately into a snatch [03:22:00].,Sell the in-out with eyes.,https://www.youtube.com/watch?v=aySQTi4vyos&t=12120s,Gym,Basketball,Basketball
17,Inside Hand Air,Int,Shoulders/Chest,Med,3,15,30s,30s,Passing Speed,⭐⭐,Basic Pass,Target Hit,High Velocity,Chest pass with inside hand without bounce [07:02:01].,Snap the wrist on release.,[07:02:01],Gym,Basketball,Basketball
56,Inside Hand Air,Beg,Shoulders,Low,4,20,30s,20s,Pass Strength,⭐⭐,None,Precision,Zip,One hand chest/air pass,Full arm extension,(https://www.youtube.com/watch?v=aySQTi4vyos&t=25321s),Gym,Basketball,Basketball
16,Inside Hand Bounce,Int,Shoulders/Chest,Med,3,15,30s,30s,Passing Accuracy,⭐⭐,Basic Pass,Target Hit,One Hand,Bounce pass using the hand nearest defender [07:01:29].,Step towards the receiver for power.,[07:01:34],Gym,Basketball,Basketball
55,Inside Hand Bounce,Beg,Forearms,Low,4,20,30s,20s,Pass Accuracy,⭐⭐,None,Precision,Snap,One hand bounce pass,Step into the pass,(https://www.youtube.com/watch?v=aySQTi4vyos&t=25294s),Gym,Basketball,Basketball
443,Inside Hand Reverse,Adv,Wrist/Shoulder,High,3,12,60s,45s,Evasion,⭐⭐⭐⭐,Drill 103,Spin Acc.,Consistency,Reverse layup using the hand closest to rim [02:55:00].,Protect ball with the body.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10500s,Gym,Basketball,Basketball
14,Inside-Out Move,Int,Forearms/Core,Med,4,15,60s,30s,Deception,⭐⭐,Drill 1,Sell the Fake,Elite Speed,Fake crossover and keep ball in same hand [01:04:10].,Hard jab and rock the shoulders.,[01:04:21],Gym,Basketball,Basketball
71,Inside-Out Retreat,Int,Forearms,Med,3,20,60s,30s,Space Creation,⭐⭐⭐,Drill 54,Speed,Baiting,"Attack, retreat, then inside-out to drive [01:05:11].",Sell the retreat with your eyes.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3911s,Gym,Basketball,Basketball
672,Iso: Calf Raise Hold,Beg,Calves,Low,3,45s,-,30s,Stability,⭐⭐,None,Stillness,Balance,Hold the top of a calf raise.,Squeeze the glutes and core.,https://www.youtube.com/watch?v=aySQTi4vyos&t=21000s,Gym,Basketball,Basketball
909,Iso: Crossover-Dunk,Elite,Glutes/CNS,Extreme,2,5,-,120s,Aggression,⭐⭐⭐⭐⭐,Drill 634,Rim Touch,Flush,Ankle-breaker crossover into a rim finish.,Explosive first step after the cross.,https://www.youtube.com/watch?v=aySQTi4vyos&t=21200s,Gym,Basketball,Basketball
907,Iso: Double-Hesi-Go,Adv,Lungs/CNS,High,4,12,-,60s,Pace,⭐⭐⭐⭐,Drill 805,Sell Fake,Score,"Two hesitations at different heights, then drive.",Sell the shot on the second hesi.,https://www.youtube.com/watch?v=aySQTi4vyos&t=8940s,Gym,Basketball,Basketball
805,Iso: Hesi-Go (L),Adv,Lungs/CNS,High,3,10,-,60s,Pace,⭐⭐⭐⭐,Drill 560,Sell Fake,Score,Hesitation into a left-handed drive.,"Drop the hips on the ""go.""",https://www.youtube.com/watch?v=aySQTi4vyos&t=8940s,Gym,Basketball,Basketball
801,Iso: Pull-up (L),Adv,Lungs/Core,High,3,10,-,60s,Separation,⭐⭐⭐⭐,Drill 746,Balance,Score,Pull-up jumper going toward the left.,Snap the gather.,https://www.youtube.com/watch?v=aySQTi4vyos&t=2640s,Gym,Basketball,Basketball
802,Iso: Pull-up (R),Adv,Lungs/Core,High,3,10,-,60s,Separation,⭐⭐⭐⭐,Drill 746,Balance,Score,Pull-up jumper going toward the right.,Stay vertical on the lift.,https://www.youtube.com/watch?v=aySQTi4vyos&t=2640s,Gym,Basketball,Basketball
908,Iso: Punch-Drag 3,Adv,Core/Wrist,High,3,12,-,60s,Separation,⭐⭐⭐⭐,None,Balance,Score,Hard dribble into a lateral drag-step 3pt.,Keep the ball protected.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14280s,Gym,Basketball,Basketball
910,Iso: Snatch-Back J,Int,Hips/Core,Med,4,15,-,45s,Separation,⭐⭐⭐,None,Stop,90% Make,"Dribble forward, snatch the ball back into a J.",Plant the front foot forcefully.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14280s,Gym,Basketball,Basketball
906,Iso: Spin-Step-Back,Elite,Hips/CNS,Extreme,3,10,-,90s,Separation,⭐⭐⭐⭐⭐,Drill 810,Fluidity,Score,Spin move immediately into a step-back jumper.,"Don't ""drift"" on the jumper.",https://www.youtube.com/watch?v=aySQTi4vyos&t=14280s,Gym,Basketball,Basketball
803,Iso: Step-Back (L),Elite,Core/Quads,Extreme,2,8,-,90s,Separation,⭐⭐⭐⭐⭐,Drill 651,Distance,Score,Left-handed step-back 3pt shot.,Maximum push-off force.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14280s,Gym,Basketball,Basketball
804,Iso: Step-Back (R),Elite,Core/Quads,Extreme,2,8,-,90s,Separation,⭐⭐⭐⭐⭐,Drill 651,Distance,Score,Right-handed step-back 3pt shot.,Clear space from the defender.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14280s,Gym,Basketball,Basketball
671,Iso: Wall Sit (Single),Adv,Quads/Ankles,High,3,30s,-,60s,Endurance,⭐⭐⭐⭐,Drill 116,Balance,Stability,Wall sit on only one leg.,Thigh must be parallel to the floor.,https://www.youtube.com/watch?v=aySQTi4vyos&t=12720s,Gym,Basketball,Basketball
182,Iverson Cut,Int,Quads,Med,3,10,90s,45s,Off-Ball,⭐⭐⭐,None,Stamina,Game Speed,Cut across two screens at the top [05:20:00].,Stay tight to the screeners.,https://www.youtube.com/watch?v=aySQTi4vyos&t=19200s,Gym,Basketball,Basketball
251,Jab and Drive,Beg,Quads/Glutes,Low,3,12ea,--,45s,Agility,⭐,None,First Step,Blow By,Jab at or side of defender then drive.,Sharp jab; explode; protect ball.,🎥,Gym,Basketball,Basketball
487,Jab and Go (L),Beg,Quads,Low,4,15,45s,30s,First Step,⭐⭐,Drill 86,Explosion,Speed,"Jab left, explode left to rim [04:03:15].",Stay balanced on jab.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14595s,Gym,Basketball,Basketball
486,Jab and Go (R),Beg,Quads,Low,4,15,45s,30s,First Step,⭐⭐,Drill 85,Explosion,Speed,"Jab right, explode right to rim [04:03:00].",Low rip-through.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14580s,Gym,Basketball,Basketball
252,Jab and Shot,Beg,Quads/Shoulders,Low,3,12ea,--,45s,Shooting,⭐,None,8/12 Made,11/12 Made,Jab to create space and shoot immediately.,Quick jab; get defender back; rise up.,🎥,Gym,Basketball,Basketball
276,Jab and Sweep,Beg,Quads/Arms,Low,3,15,--,45s,Agility,⭐,None,Ball Rip,Low Sweep,Jab while sweeping ball from hip to knee.,Violent sweep; stay low.,🎥,Gym,Basketball,Basketball
277,Jab At Defender,Beg,Quads,Low,3,15,--,45s,Agility,⭐,None,Defender Reaction,Read Space,Jab straight at the defender's chest.,Short quick jabs; stay on balance.,🎥,Gym,Basketball,Basketball
275,Jab Ball on Hip,Beg,Quads,Low,3,15,--,45s,Footwork,⭐,None,Ball Security,Balance,Jab while keeping ball protected on hip.,Don't sweep; stay ready to shoot.,🎥,Gym,Basketball,Basketball
280,Jab Pause Attack,Inter,Quads/Glutes,Med,3,12,--,60s,Pace,⭐⭐,Jab,Change of Speed,Explosion,"Jab, pause to read, then attack.",Hesitation; read defender's feet.,🎥,Gym,Basketball,Basketball
254,Jab Shot Fake Shot,Inter,Quads/Shoulders,Med,3,12,--,60s,Scoring,⭐⭐,Jab/Fake,9/12 Made,11/12 Made,"Jab, shot fake, then take the shot.",Sell the fake; stay balanced.,🎥,Gym,Basketball,Basketball
489,Jab-Cross-Go (L),Int,Hips/Quads,Med,4,12,60s,45s,First Step,⭐⭐⭐,Drill 487,Shiftiness,Speed,"Jab left, cross over to the right [04:04:15].",Rip the ball across waist.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14655s,Gym,Basketball,Basketball
488,Jab-Cross-Go (R),Int,Hips/Quads,Med,4,12,60s,45s,First Step,⭐⭐⭐,Drill 486,Shiftiness,Speed,"Jab right, cross over to the left [04:04:00].",Step across defender's foot.,https://www.youtube.com/watch?v=aySQTi4vyos&t=14640s,Gym,Basketball,Basketball
448,Jelly Finish (L),Elite,CNS/Wrist,Extreme,2,10,60s,60s,Style,⭐⭐⭐⭐⭐,Drill 440,Control,Mastery,Left hand double-clutch layup [03:00:30].,Full body suspension.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10830s,Gym,Basketball,Basketball
447,Jelly Finish (R),Elite,CNS/Wrist,Extreme,2,10,60s,60s,Style,⭐⭐⭐⭐⭐,Drill 440,Control,Mastery,Double-clutch layup with finger roll [03:00:00].,Keep eyes on the rim.,https://www.youtube.com/watch?v=aySQTi4vyos&t=10800s,Gym,Basketball,Basketball
26,KD Drop Spin (L),Adv,Core/Glutes,High,2,8,45s,45s,Footwork/Speed,⭐⭐⭐⭐,Drill 7,360 Spin,Speed,Left foot forward pivot spin,One continuous motion,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1412s),Gym,Basketball,Basketball
25,KD Drop Spin (R),Adv,Core/Glutes,High,2,8,45s,45s,Footwork/Speed,⭐⭐⭐⭐,Drill 7,360 Spin,Speed,"Drop ball, pick up both hands, spin",Pick up ball at hip height,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1401s),Gym,Basketball,Basketball
399,Kick-Out & Re-Post,Inter,Glutes,Med,3,10,--,60s,Position,⭐⭐,None,Relocation,Deep Seal,"Pass out, then immediately re-seal man.",Use the defender's momentum to seal.,🎥,Gym,Basketball,Basketball
146,Kill Dribble (Pound),Int,Shoulders,Med,3,20,30s,30s,Control,⭐⭐⭐,None,Kill Stop,Speed,Hard pound dribble to a dead stop [02:18:00].,Kill ball at ankle height.,https://www.youtube.com/watch?v=aySQTi4vyos&t=8280s,Gym,Basketball,Basketball
450,Kyrie Spin Handle,Adv,CNS/Ankles,High,3,10,60s,45s,Shiftiness,⭐⭐⭐⭐,Drill 148,Tight Pivot,Elite Speed,Spin move while keeping ball in same hand [03:04:00].,Stay low through the turn.,https://www.youtube.com/watch?v=aySQTi4vyos&t=11040s,Gym,Basketball,Basketball
180,L-Cut to Elbow,Beg,Calves,Low,3,15,60s,30s,Footwork,⭐⭐,None,Hard Step,Speed,"Walk defender down, pop to elbow [05:16:30].",Change of speed is vital.,https://www.youtube.com/watch?v=aySQTi4vyos&t=18990s,Gym,Basketball,Basketball
152,L-Dribble (Front),Beg,Wrist/Finger,Low,3,30,30s,20s,Dexterity,⭐⭐,None,Sharp L,Control,"Dribble in an ""L"" shape in front [02:30:00].",Use finger pads to guide.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9000s,Gym,Basketball,Basketball
153,L-Dribble (Side),Beg,Wrist/Finger,Low,3,30,30s,20s,Dexterity,⭐⭐,None,Sharp L,Control,"Dribble in an ""L"" shape on side [02:30:30].",Push and pull the ball.,https://www.youtube.com/watch?v=aySQTi4vyos&t=9030s,Gym,Basketball,Basketball
114,Lane Agility,Adv,Full Body,High,2,4,90s,60s,Conditioning,⭐⭐⭐⭐,Drill 113,<12s,<10.5s,Standard NBA combine lane drill [04:48:45].,Touch every line clearly.,https://www.youtube.com/watch?v=aySQTi4vyos&t=17325s,Gym,Basketball,Basketball
198,Lane Slide (Timed),Int,Glutes,High,4,16,30s,60s,Agility,⭐⭐⭐,Drill 111,<12s,<10s,Side-to-side lane slides [04:48:00].,Touch the floor at each side.,https://www.youtube.com/watch?v=aySQTi4vyos&t=17280s,Gym,Basketball,Basketball
461,Lateral Bound Handle,Int,Glutes/Ankles,Med,3,12,60s,30s,Explosiveness,⭐⭐⭐,None,Stability,Power,Large lateral jump while crossover [03:24:00].,Stick the landing.,https://www.youtube.com/watch?v=aySQTi4vyos&t=12240s,Gym,Basketball,Basketball
9,Left Foot Pivot,Beg,Calves/Ankles,Low,2,20,60s,30s,Footwork Base,⭐,None,Firm Pivot,No Travel,"Keep left foot planted, move right [22:33].",Maintain low center of gravity.,[22:33],Gym,Basketball,Basketball
2,Left Hand Pound,Beg,Forearms/Shoulders,Low,3,20,20s,30s,Ball Control,⭐,None,50 lbs,100 lbs,Hard stationary dribbles with weak hand [02:55].,"Stay low, balanced stance.",[02:55],Gym,Basketball,Basketball
23,Left Side-Step,Int,Glutes/Hips,Med,3,10,45s,30s,Lat. Separation,⭐⭐⭐,Drill 21,Balance,Quickness,Side step off left foot into shot,Perfect balance before rising,(https://www.youtube.com/watch?v=aySQTi4vyos&t=428s),Gym,Basketball,Basketball
259,Load Step (Step Back Jab),Beg,Quads,Low,3,15,--,45s,Footwork,⭐,None,Balance,Weight Shift,Step back with a 'load step' to read defense.,Weight on back foot; stay ready to act.,🎥,Gym,Basketball,Basketball
261,Load Step into Drive,Beg,Quads/Glutes,Low,3,12,--,45s,Agility,⭐,Load Step,Explosiveness,Quickness,Load step followed by an explosive drive.,Step back; explode out of the load.,🎥,Gym,Basketball,Basketball
260,Load Step into Shot,Beg,Quads/Shoulders,Low,3,15,--,45s,Shooting,⭐,Load Step,10/15 Made,13/15 Made,Load step followed by stepping into a shot.,Step back; rhythm step forward; shoot.,🎥,Gym,Basketball,Basketball
262,Load Step Jab Jumper,Inter,Quads/Core,Med,3,12,--,60s,Scoring,⭐⭐,Load Step,8/12 Made,11/12 Made,"Load step, jab, then jump shot.",Multiple fakes; stay on balance.,🎥,Gym,Basketball,Basketball
331,Lob Catch Finish,Adv,Full Body,High,4,8,--,90s,Vertical,⭐⭐⭐,None,Timing,Vertical Spac.,Catch and finish an alley-oop.,High point the ball; strong grip.,🎥,Gym,Basketball,Basketball
500,Logo 3pt Shooting,Elite,Lungs/Quads,Extreme,2,10,-,120s,Range,⭐⭐⭐⭐⭐,Drill 67,Strength,Deep Range,Shoot 3s from 28-30 feet.,Use more leg power.,https://www.youtube.com/watch?v=aySQTi4vyos&t=16000s,Gym,Basketball,Basketball
902,Logo: Side-Step 3,Elite,Core/Glutes,Extreme,3,8,-,120s,Range,⭐⭐⭐⭐⭐,Drill 861,Distance,Score,Lateral side-step 3pt from the logo.,Land on balance with a wide base.,https://www.youtube.com/watch?v=aySQTi4vyos&t=16000s,Gym,Basketball,Basketball
901,Logo: Step-Back 3,Elite,Core/Quads,Extreme,3,8,-,120s,Range,⭐⭐⭐⭐⭐,Drill 861,Distance,Score,Step-back 3pt from the half-court logo.,Maintain high-arc trajectory.,https://www.youtube.com/watch?v=aySQTi4vyos&t=16000s,Gym,Basketball,Basketball
33,Look: Left Shoulder,Beg,Neck/Back,Low,2,15,30s,20s,Vision,⭐,None,Head Up,Scanning,Look over left shoulder on catch,Track the rim,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1952s),Gym,Basketball,Basketball
34,Look: Right Shoulder,Beg,Neck/Back,Low,2,15,30s,20s,Vision,⭐,None,Head Up,Scanning,Look over right shoulder on catch,Find defense early,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1952s),Gym,Basketball,Basketball
203,Low Post: Up & Under,Adv,Hips/Core,High,3,10,60s,60s,Footwork,⭐⭐⭐⭐,Drill 96,Sell Fake,Score,"Post fake, step through for finish [04:14:00].",Keep pivot foot grounded.,https://www.youtube.com/watch?v=aySQTi4vyos&t=15240s,Gym,Basketball,Basketball
248,Low Power Pickup,Inter,Legs/Core,High,3,12,--,60s,Explosiveness,⭐⭐,None,Court Coverage,Explosive,Low pickup dribble covering lots of space.,Get low; jump far; strong finish.,🎥,Gym,Basketball,Basketball
284,Low Rip Drive,Beg,Quads/Arms,Low,3,15,--,45s,Agility,⭐,None,Stay Low,Strength,Rip the ball low to drive by hands.,Below knees; explosive step.,🎥,Gym,Basketball,Basketball
457,Low-High-Low Pound,Int,Forearms,Med,4,30s,30s,20s,Control,⭐⭐⭐,Drill 72,Control,Speed,Shift dribble height rapidly [03:16:00].,Use finger pads for low part.,https://www.youtube.com/watch?v=aySQTi4vyos&t=11760s,Gym,Basketball,Basketball
49,Lunge Pivot (L),Int,Quads/Glutes,High,2,10,60s,45s,Strength,⭐⭐⭐,Drill 27,Stability,Power,"Lunge on left side, pivot to shot",Maintain strong core,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1447s),Gym,Basketball,Basketball
48,Lunge Pivot (R),Int,Quads/Glutes,High,2,10,60s,45s,Strength,⭐⭐⭐,Drill 27,Stability,Power,"Lunge forward, pivot to shot",Don't let knee touch floor,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1447s),Gym,Basketball,Basketball
27,Lunge to Shot,Int,Quads,Med,3,10,60s,45s,Leg Strength,⭐⭐,Basic Shot,70%,85%,Lunge then rise into shot,Drive through the front heel,(https://www.youtube.com/watch?v=aySQTi4vyos&t=1421s),Gym,Basketball,Basketball
1254,Ment: Clutch-Make 3,Elite,CNS,Extreme,5,1,-,-,Clutch,⭐⭐⭐⭐⭐,Drill 1174,Make,Score,Must make a contested 3 to end workout.,Treat it like the final seconds of a game.,https://www.youtube.com/watch?v=aySQTi4vyos&t=25000s,Gym,Basketball,Basketball
1300,Ment: Defensive IQ,Int,Mindset,Med,1,10 min,-,-,Mindset,⭐⭐⭐,None,Focus,Elite,Mental rehearsal of defensive reads.,Visualize anticipating passes.,https://www.youtube.com/watch?v=aySQTi4vyos&t=25500s,Gym,Basketball,Basketball
1255,Ment: Defensive Stop,Int,Mindset,Med,1,5 min,-,-,Mindset,⭐⭐⭐,Drill 1180,Focus,Elite,Mental rehearsal of defensive principles.,Visualize rotations and communication.,https://www.youtube.com/watch?v=aySQTi4vyos&t=25500s,Gym,Basketball,Basketball
1298,Ment: Distraction FT,Adv,CNS,High,4,10,-,60s,Focus,⭐⭐⭐⭐,None,8/10,Score,FTs with visual/auditory distraction.,Laser focus on the rim.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3000s,Gym,Basketball,Basketball
1253,Ment: Distraction J,Adv,CNS,High,4,10,-,60s,Focus,⭐⭐⭐⭐,None,8/10,Score,Shoot jumpers with visual/auditory distraction.,Maintain perfect focus on the rim.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3000s,Gym,Basketball,Basketball
1252,Ment: FT Pressure 2,Int,CNS,Med,1,10,-,-,Clutch,⭐⭐⭐,Drill 1171,Make,90% Make,Make 10 FTs in a row to finish.,Reset if you miss.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3000s,Gym,Basketball,Basketball
1297,Ment: FT Pressure 3,Int,CNS,Med,1,15,-,-,Clutch,⭐⭐⭐,Drill 1252,Make,90% Make,Make 15 FTs in a row to finish.,Reset count on any miss.,https://www.youtube.com/watch?v=aySQTi4vyos&t=3000s,Gym,Basketball,Basketball
1299,Ment: Game Winner,Elite,CNS,Extreme,5,1,-,-,Clutch,⭐⭐⭐⭐⭐,Drill 1254,Make,Score,Must make a contested shot to end workout.,Simulate the final buzzer.,https://www.youtube.com/watch?v=aySQTi4vyos&t=25000s,Gym,Basketball,Basketball
1296,Ment: Visual Def,Beg,None,Low,1,15 min,-,-,Mindset,⭐⭐,None,Focus,Elite,Visualize playing perfect defense.,See the rotations and closeouts.,https://www.youtube.com/watch?v=aySQTi4vyos&t=25500s,Gym,Basketball,Basketball
1251,Ment: Visual Game,Beg,None,Low,1,15 min,-,-,Mindset,⭐⭐,None,Focus,Elite,Visualize playing a perfect quarter.,"See the movements, feel the ball.",https://www.youtube.com/watch?v=aySQTi4vyos&t=25500s,Gym,Basketball,Basketball
